순위,종목코드,종목명,시장구분,종가,대비,등락률,거래량,거래대금,시가총액,시가총액비중,상장주식수
"1","005930","삼성전자","KOSPI","79000","-800","-1.00","13155414","1039019131200","471612821450000","17.29","5969782550"
"2","000660","SK하이닉스","KOSPI","119000","-2500","-2.06","2066638","246069384100","86632281435000","3.18","728002365"
"3","035420","NAVER","KOSPI","443000","-4000","-0.89","704307","312242762208","72768683985000","2.67","164263395"
"4","035720","카카오","KOSPI","154000","-3000","-1.91","3475792","536709167000","68446875420000","2.51","444460230"
"5","207940","삼성바이오로직스","KOSPI","916000","17000","1.89","183976","167927488000","60607140000000","2.22","66165000"
"6","005935","삼성전자우","KOSPI","72500","-400","-0.55","1034631","74882215000","59659285750000","2.19","822886700"
"7","051910","LG화학","KOSPI","820000","-8000","-0.97","126570","104097840500","57885721260000","2.12","70592343"
"8","006400","삼성SDI","KOSPI","743000","-6000","-0.80","158387","117175013000","51092045790000","1.87","68764530"
"9","005380","현대차","KOSPI","227500","-2500","-1.09","432339","98310964000","48609512542500","1.78","213668187"
"10","068270","셀트리온","KOSPI","263000","-6000","-2.23","463187","123665342000","36272048442000","1.33","137916534"
"11","000270","기아","KOSPI","85800","-1300","-1.49","1366530","117237847300","34780175172600","1.28","405363347"
"12","005490","POSCO","KOSPI","334500","-6500","-1.91","324198","108429688000","29163996307500","1.07","87186835"
"13","051900","LG생활건강","KOSPI","1711000","-2000","-0.12","17714","30283441000","26722735067000","0.98","15618197"
"14","012330","현대모비스","KOSPI","280000","-4500","-1.58","164387","46115823500","26542066320000","0.97","94793094"
"15","066570","LG전자","KOSPI","157500","-3000","-1.87","598680","94418785500","25774530705000","0.95","163647814"
"16","028260","삼성물산","KOSPI","132500","-2000","-1.49","254345","33535418500","24762538232500","0.91","186887081"
"17","096770","SK이노베이션","KOSPI","258000","-4500","-1.71","477751","123695607500","23856115512000","0.87","92465564"
"18","017670","SK텔레콤","KOSPI","326500","4500","1.40","145779","47356485500","23527636689500","0.86","72060143"
"19","105560","KB금융","KOSPI","51100","-1400","-2.67","1350304","69242286500","21247784712000","0.78","415807920"
"20","055550","신한지주","KOSPI","38200","-550","-1.42","846332","32364402450","19734102962800","0.72","516599554"
"21","034730","SK","KOSPI","273000","-4500","-1.62","100816","27536313500","19208361081000","0.70","70360297"
"22","036570","엔씨소프트","KOSPI","827000","-12000","-1.43","75493","62763861000","18155976194000","0.67","21954022"
"23","011200","HMM","KOSPI","43900","-50","-0.11","3260462","143714748750","17796730179300","0.65","405392487"
"24","091990","셀트리온헬스케어","KOSDAQ","112300","-2400","-2.09","571949","65255080300","17405480540600","0.64","154990922"
"25","015760","한국전력","KOSPI","25650","600","2.40","5094213","129640364600","16466378575050","0.60","641964077"
"26","003550","LG","KOSPI","97000","-1800","-1.82","307409","29883261400","15258196321000","0.56","157300993"
"27","032830","삼성생명","KOSPI","76000","-1300","-1.68","232885","17749419900","15200000000000","0.56","200000000"
"28","361610","SK아이이테크놀로지","KOSPI","211000","-2000","-0.94","450712","95872477000","15043791912000","0.55","71297592"
"29","018260","삼성에스디에스","KOSPI","183500","-2000","-1.08","64343","11809507500","14198826300000","0.52","77377800"
"30","090430","아모레퍼시픽","KOSPI","240500","-4000","-1.64","95661","22976959000","14059266845000","0.52","58458490"
"31","009150","삼성전기","KOSPI","184000","-4500","-2.39","355682","65784519000","13743640064000","0.50","74693696"
"32","003670","포스코케미칼","KOSPI","166500","1500","0.91","481968","79329307000","12897626130000","0.47","77463220"
"33","086790","하나금융지주","KOSPI","42800","-1000","-2.28","799531","34341811950","12850360253600","0.47","300242062"
"34","352820","하이브","KOSPI","315000","-2500","-0.79","209873","65924900500","12285887355000","0.45","39002817"
"35","302440","SK바이오사이언스","KOSPI","156500","-2000","-1.26","299983","47167619000","11972250000000","0.44","76500000"
"36","251270","넷마블","KOSPI","137500","-2500","-1.79","192747","26636466000","11818606525000","0.43","85953502"
"37","033780","KT&G","KOSPI","83300","-400","-0.48","263465","21944493400","11436465000100","0.42","137292497"
"38","010950","S-Oil","KOSPI","97400","-1400","-1.42","331972","32262476700","10965563940800","0.40","112582792"
"39","034020","두산중공업","KOSPI","24800","-300","-1.20","4477148","110599915800","10606358972000","0.39","427675765"
"40","003490","대한항공","KOSPI","30350","-550","-1.78","1203930","36556945450","10556362038750","0.39","347820825"
"41","000810","삼성화재","KOSPI","218000","-3500","-1.58","51984","11392528000","10327714466000","0.38","47374837"
"42","326030","SK바이오팜","KOSPI","125500","0","0.00","216944","27023529500","9828312875000","0.36","78313250"
"43","011170","롯데케미칼","KOSPI","273500","3500","1.30","266843","72873145000","9374327096500","0.34","34275419"
"44","010130","고려아연","KOSPI","473000","-16000","-3.27","110544","52521923000","8925510000000","0.33","18870000"
"45","030200","KT","KOSPI","33350","300","0.91","1012787","33653946350","8708078796800","0.32","261111808"
"46","009540","한국조선해양","KOSPI","123000","-3000","-2.38","288599","35580915000","8705093268000","0.32","70773116"
"47","018880","한온시스템","KOSPI","15950","-300","-1.85","1200166","19202350700","8514110000000","0.31","533800000"
"48","316140","우리금융지주","KOSPI","11300","-50","-0.44","1205816","13611025850","8161624817900","0.30","722267683"
"49","034220","LG디스플레이","KOSPI","22800","-450","-1.94","2846954","65052416550","8158197960000","0.30","357815700"
"50","009830","한화솔루션","KOSPI","42250","-600","-1.40","689781","29205504950","8081516498250","0.30","191278497"